title,href,image_url,publish_time,content,visit_num,comment_num,objid
大众I.D.系列将从电动赛车获取设计灵感,//www.autohome.com.cn/news/201806/918478.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M09/1B/77/120x90_0_autohomecar__wKgHGVsd2I6AFH-DAAGMYGWf9F8005.jpg,34分钟前,[汽车之家 新闻]  日前，大众方面表示，旗下电动车系I.D.系列车型未来将会以I.D. R Pikes Peak赛车为设计灵感，一些设计元素或将出现...,477,2,918478
艾瑞泽GX/EXEED TX 奇瑞2018年新车计划,//www.autohome.com.cn/news/201806/918483.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M04/1A/F8/120x90_0_autohomecar__ChcCRVsd2q-AZmh8AAGxJ9OMWNk178.jpg,41分钟前,[汽车之家 新闻]  日前，我们从官方了解到了奇瑞2018年部分新车计划，其中，艾瑞泽GX将于9月初正式上市，而奇瑞EXEED TX将于11月初正式上...,2749,15,918483
将于7月首发 新一代吉姆尼更多消息,//www.autohome.com.cn/news/201806/918484.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g1/M01/1C/0E/120x90_0_autohomecar__ChcCQ1sd1MmAQ9KzAAHS_XqgypM095.jpg,41分钟前,[汽车之家 新闻]　日前，铃木全新一代吉姆尼的宣传彩页再度曝光，图片显示该车将于7月份首度亮相。而据铃木经销商朝日汽车（Asahi Motors）的进...,6124,39,918484
大众将通过量子力学技术开发电池产品,//www.autohome.com.cn/news/201806/918474.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M08/1A/91/120x90_0_autohomecar__wKgHGlsd10WAPXvkAAFgp_X0X5c771.jpg,1小时前,[汽车之家 新闻]  日前据外媒报道，大众汽车计划开始利用量子力学计算技术来进行新能源汽车高性能电池的开发，包括使用量子超级计算机来模拟锂氢和碳链等新...,586,10,918474
名为SpaceX 特斯拉新Roadster增选装包,//www.autohome.com.cn/news/201806/918471.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M09/1D/5C/120x90_0_autohomecar__wKgHF1sdzMCAcqR3AAF5k7DTop4335.jpg,1小时前,[汽车之家 新闻]  提到特斯拉的首款产品，很多人会脱口而出Model S，实际上在这之前特斯拉还生产过名为Roadster的纯电动敞篷跑车。近期，官...,3997,35,918471
宁德时代今日敲钟上市 开盘大涨32%,//www.autohome.com.cn/news/201806/918470.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M0A/1A/09/120x90_0_autohomecar__wKgHGlsdzMeAZgQXAAHa00Mpj8c852.jpg,1小时前,[汽车之家 新闻]  宁德时代今日在深交所敲钟上市，股票代码300750。开盘大涨32.02%，报33.19元，总市值达721.03亿元。宁德时代首次...,3507,8,918470
预售14.2-19.8万 领克02将6月28日上市,//www.autohome.com.cn/news/201806/918472.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M05/1A/7A/120x90_0_autohomecar__ChcCRVsd0WuAFuZXAAEKCcanaC8559.jpg,1小时前,[汽车之家 新闻]  此前我们报道过，领克02将推出纯/耀/劲三个系列车型，其预售价格区间为14.2-19.8万元。而近日，其官方宣布，领克02将于今...,1.4万,74,918472
强大的复兴之路 FCA未来五年新车盘点,//www.autohome.com.cn/news/201806/918417.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g2/M09/07/15/120x90_0_autohomecar__wKgHFlsbYxqAGHJ6AAETA-Q1tUM980.jpg,4小时前,[汽车之家 新闻]  不久前，菲亚特克莱斯勒集团（简称FCA）官方发布了未来五年的车型计划。从Jeep品牌全面电气化的决心到阿尔法·罗密欧G...,2.1万,95,918417
与Coupe版同期发布？宝马8系敞篷版谍照,//www.autohome.com.cn/news/201806/918466.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M0A/19/9E/120x90_0_autohomecar__wKgHGFsdQ2eAY6uKAAHOfUuRfyA802.jpg,5小时前,[汽车之家 海外谍照]  日前，有海外媒体曝光了一组全新宝马8系敞篷版谍照，新车依旧是宝马家族式风格，车身采用软顶敞篷机构。根据此前消息，6月15日，...,1.8万,56,918466
深评：插混被“踢”背后是怎样的博弈?,//www.autohome.com.cn/news/201806/918448.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M0B/15/D9/120x90_0_autohomecar__wKgHGlsdBveAbhr8AAFW4Ieqlds903.jpg,5小时前,[汽车之家 深评]  近日，国家发改委《汽车产业投资管理规定（征求意见稿）》曝光，其中插电式混动乘用车投资类别被归为传统燃油车一类。插电式混动为何突然...,5.2万,311,918448
内外均有升级 实拍新款广汽传祺GS4,//www.autohome.com.cn/advice/201806/918392.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M00/FC/33/120x90_0_autohomecar__wKgHGlsZ4N2AMGRtAAGQAeTUwIs140.jpg,11小时前,[汽车之家 新车图解]  作为广汽传祺光影雕塑2.0造型理念的首款车型，传祺GS4上市已经三年多了，期间2017年曾经针对配置进行过升级。如今，这辆S...,14.8万,233,918392
普通班里的好学生 测试宝骏360手动挡,//www.autohome.com.cn/drive/201806/918367.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M00/F5/D7/120x90_0_autohomecar__ChcCRVsY7yCAC3ssAAG96sZgArI787.jpg,12小时前,[汽车之家 性能测试]  又是一年高考季，曾经叛逆的我对于考试是又厌恶又期待，厌恶是因为人们总是拿分数衡量一切，期待是因为那个岁数能够证明自己实力的事...,6.5万,130,918367
首推智能版 新英菲尼迪QX50购车手册,//www.autohome.com.cn/advice/201806/918464.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M05/17/B5/120x90_0_autohomecar__wKgHGFsdFuSAedCNAAFp0EXBmvY678.jpg,13小时前,[汽车之家 购车手册]   刚刚英菲尼迪的全新QX50已经发布了价格，购车手册作为工具型文体，就不准备过多的开场白了，下面将告诉您哪款值得推荐。车型简...,47.9万,735,918464
爆胎不失控 体验江淮TESS爆胎应急系统,//www.autohome.com.cn/use/201806/918445.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M03/0C/BB/120x90_0_autohomecar__wKgHGVsbutCABHvCAAGuM-JuD_k577.jpg,13小时前,[汽车之家 用车资讯]  现在这个时代，互联网好像无处不在的充斥着我们的周围，最能代表传统制造业的汽车，好像不跟互联网沾边，就要被时代抛弃一样。我们不...,8.4万,198,918445
让司机掉饭碗？自动驾驶版LITE靠不靠谱,//www.autohome.com.cn/tech/201806/913725.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M00/1A/00/120x90_0_autohomecar__wKgHF1sdHYWAPx9lAAFVTrmucwE154.jpg,13小时前,[汽车之家 技术设计频道]  当传统出租车司机在几年前还自以为抓住了“铁饭碗”的时候，滴滴的出现彻底打乱了市场的格局。两年前，也就是在没有摩拜、小黄车...,1.4万,38,913725
售33.98-48.98万元 英菲尼迪新QX50上市,//www.autohome.com.cn/news/201806/918422.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M05/18/29/120x90_0_autohomecar__ChcCQ1sdGseAYJRUAAE51T_O6Io986.jpg,14小时前,[汽车之家 新车上市]  6月10日晚，东风英菲尼迪全新QX50车型正式上市，新车共推出了搭载2.0T可变压缩比发动机+CVT变速箱动力总成的共计6款...,42.0万,899,918422
一周搞定100辆 给公交车加夜班的机器人,//www.autohome.com.cn/use/201806/918356.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M07/F4/97/120x90_0_autohomecar__wKgHGFsYwyeAIrcoAAGO8ujbGDg086.jpg,15小时前,[汽车之家 轮胎解读]  还记得赛车总动员里面的汽车人物都叫什么吗？反正你能说出5个人物，就比我强，不过除了明星人物外，还有一些配角小人物可能不太引人...,1.8万,28,918356
简单的长假 洛杉矶/圣迭戈自驾游（3）,//www.autohome.com.cn/culture/201806/917805-24.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M0B/10/63/120x90_0_autohomecar__ChcCQ1scVEeALB9TAAFt22rahl0405.jpg,17小时前,[汽车之家 王申游记]  各位好，我是王申，自上次阿根廷游记之后，我又回来了。这次行程主要还是美西路线，到达洛杉矶玩几天之后我将开往圣迭戈，去那里看看...,20.7万,2203,917805
6月26日发布 丰田公布新皇冠官方实车图,//www.autohome.com.cn/news/201806/918462.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g1/M01/13/7F/120x90_0_autohomecar__ChcCQ1scs7mAOmyeAAE1wgbdVM4727.jpg,21小时前,[汽车之家 新车官图]  日前，丰田官方公布了新一代皇冠的实车图片，新车提供三种动力配置，会在6月26日正式发布。同时官方也公布了该车在日本的售价，为...,39.3万,1364,918462
未来出行利器 smart新概念车国内首发,//www.autohome.com.cn/news/201806/918459.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M0A/0E/5B/120x90_0_autohomecar__wKgHFVsccUGAHbBHAAHAEm8R5S8633.jpg,1天前,[汽车之家 新车首发]  在亚洲CES展会开幕前夕，smart全新概念车smart Vision EQ fortwo正式亮相国内，新车主要展示了对未来...,4.1万,94,918459
评：除了买买买，吉利“新”路在何方？,//www.autohome.com.cn/news/201806/918457.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g2/M02/0F/E4/120x90_0_autohomecar__ChcCRFscPEiAFMobAAGyCknXb8E494.jpg,1天前,[汽车之家 快评]  对处在盛夏中的我们而言，没有什么能比一场细雨更能降温了。对车企而言，能够帮助其在竞争已处于白热化的中国市场中冷静下来，进一步提升...,9.6万,435,918457
车身尺寸或加长 曝福汽启腾M70L EV谍照,//www.autohome.com.cn/news/201806/918458.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M0B/0F/77/120x90_0_autohomecar__ChcCQ1sb8wKAcT0ZAAEJz9quicI283.jpg,1天前,[汽车之家 国内谍照]  日前，我们从相关渠道获得了一组福汽纯电动封闭式物流车――启腾M70L EV的实车图，该车车身尺寸或在现款基础上进行加长。作为...,1.6万,68,918458
对标GS8 吉利未来将推一款7座中型SUV,//www.autohome.com.cn/news/201806/918447.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M01/10/08/120x90_0_autohomecar__wKgHF1sb0caAKMXvAAFlGrvf5OY745.jpg,1天前,[汽车之家 国内谍照]  日前，我们获得一组吉利全新SUV的路试谍照，新车定为7座中型SUV，对标传祺GS8，高于目前在售车型吉利博越。    友情提...,25.1万,592,918447
比加油站还多？日本的充电桩都长什么样,//www.autohome.com.cn/culture/201806/918446.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M09/0D/71/120x90_0_autohomecar__wKgHGFsbwyCAfGwGAAGWJwwUTMg082.jpg,1天前,[汽车之家 精彩汽车生活]  说到电动车，绕不过去的话题就是充电，关于国内公共充电桩的文章我们已经写过（吐槽）不少了。今天我们就放眼世界，去到邻近的日...,22.3万,706,918446
或将2019年3月亮相 Model Y最新假想图,//www.autohome.com.cn/news/201806/918444.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M09/07/A2/120x90_0_autohomecar__ChcCRVsbTmOAF65ZAADrxJR452k697.jpg,1天前,[汽车之家 新闻]  日前特斯拉在2018年股东大会上公布了第二张Model Y的预告图，并宣布新车有望于2019年3月亮相。虽然预告图只是展示了新车...,5.0万,57,918444
外媒：2040年新能源车销量将达6000万辆,//www.autohome.com.cn/news/201806/918442.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M03/06/39/120x90_0_autohomecar__wKgHFlsbShiAJ5XeAAC-g4VXT7c161.jpg,1天前,[汽车之家 新闻]  近日，彭博新能源财经（BNEF）发布最新报告预测，到2040年，全球新能源车销量将占据汽车总销量的55%，约6000万辆。数据显...,5445,39,918442
赛车运动初体验 编辑参加赛道驾驶培训,//www.autohome.com.cn/tuning/201806/918373.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M0B/F6/B9/120x90_0_autohomecar__ChcCRVsY_GmAA-BCAAFeoI1qawU525.jpg,1天前,[汽车之家 改装赛事学堂]  作为一名汽车编辑，平日里有机会接触到各种汽车，这其中也不乏一些超跑。但是不得不承认，我对于专业赛车运动的了解以及知识储备...,3.0万,89,918373
你身边会为电动车买单的N类人     ,//www.autohome.com.cn/tech/201806/918434.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M0B/06/0A/120x90_0_autohomecar__ChcCRFsapfyAKv3OAADYSpy8D6Q804.jpg,1天前,[汽车之家 凹凸姐漫谈]  各位好，从这一期开始我们的漫画栏目尝试个新形式，就是让你看到我画的过程，让漫画动起来~但是说实话，绘制漫画的过程是相当耗时...,4.3万,245,918434
安卓和苹果的区别？主流透镜横评(下),//www.autohome.com.cn/use/201806/913814-3.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M07/01/13/120x90_0_autohomecar__wKgHF1sZ-KqAS423AAE-vDUyUIg890.jpg,1天前,[汽车之家 灯光解析]  说到大灯升级，就不得不提透镜的选择，海拉？Q5？还是国产……对于多数人来讲，这些看似简单的玻璃球透镜却直接决定着你的大灯颜值...,83.1万,1814,913814
售11.98-14.58万 吉利帝豪GSe正式上市,//www.autohome.com.cn/news/201806/918433.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M0B/0C/17/120x90_0_autohomecar__wKgHGlsbvzKANQgBAAHD2CRJSJc554.jpg,1天前,[汽车之家 新车上市]  6月9日晚，吉利帝豪GSe正式上市。新车可以看作是帝豪GS的纯电动版车型，其使用了宁德时代提供的锂离子电池组，并全系标配吉利...,58.2万,761,918433
或2019年发布 曝斯巴鲁新一代力狮谍照,//www.autohome.com.cn/news/201806/918440.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M07/0F/A9/120x90_0_autohomecar__wKgHF1sbxx2ALPxOAAFdbPgRtho198.jpg,1天前,[汽车之家 海外谍照]  日前，有海外媒体曝光了一组斯巴鲁新一代力狮车型的早期路试谍照。作为全新第七代车型，新力狮将基于斯巴鲁SGP模块化平台打造，并...,6.2万,150,918440
智障队友订错车 沦落美国街头的开始,//www.autohome.com.cn/culture/201806/918382.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g1/M06/09/CD/120x90_0_autohomecar__ChcCQ1sbYsWAGr0aAAGFGOF0D34212.jpg,1天前,[汽车之家 国内外游记]  汽车之家的游记我相信大家都看过很多了，特别是去美国西海岸洛杉矶的游记，更是数不胜数。然而我的这趟旅程可以说是这么多游记中最...,41.1万,253,918382
6月11日公布参数 广汽新能源推GE3 530,//www.autohome.com.cn/news/201806/918443.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g1/M05/09/22/120x90_0_autohomecar__wKgHGFsbVR-AODy0AAE9GGduBiQ863.jpg,1天前,[汽车之家 新闻]  日前，我们从广汽新能源官方获悉，广汽新能源传祺GE3将推出一款GE3 530版本，并于6月11号公布参数信息及预售价格。据悉，新...,4.5万,145,918443
北京个人新能源车指标或将排至2024年,//www.autohome.com.cn/news/201806/918441.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g2/M09/07/8F/120x90_0_autohomecar__wKgHGVsbOziAcbxQAAEm79gkQcM900.jpg,1天前,[汽车之家 新闻]  6月9日，北京小客车指标调控管理办公室公布，截至2018年6月8日24:00，累计收到人新能源小客车配置指标申请和确认延期的共2...,3.2万,146,918441
广东省发布充电基础设施建设补贴计划,//www.autohome.com.cn/news/201806/918439.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M03/05/82/120x90_0_autohomecar__wKgHFlsbOiCAKdfaAAGySfhLRfw024.jpg,2天前,[汽车之家 新闻]  近日，广东省发布《关于2016-2018年省级新能源汽车充电基础设施建设补贴资金计划的公示》显示，2016年至2018年，广东省...,1.4万,60,918439
即将发布 新一代梅赛德斯-奔驰GLE谍照,//www.autohome.com.cn/news/201806/918438.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M05/06/AF/120x90_0_autohomecar__wKgHGlsbOKmAOQI0AAHeLM_4QCI516.jpg,2天前,[汽车之家 海外谍照]  日前，有海外媒体曝光了一组新一代梅赛德斯-奔驰GLE（代号W167）的低伪装尾部谍照，新车车身造型和尾部暴露无遗，该车将于年...,19.3万,349,918438
沃尔沃全新S60将于6月内在美国工厂首发,//www.autohome.com.cn/news/201806/918437.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M09/07/8A/120x90_0_autohomecar__wKgHGFsbMb6AEQuLAAIfcxJm7Zw429.jpg,2天前,[汽车之家 新闻]  日前沃尔沃官方宣布，其将于本月（6月）内在位于美国南卡罗来纳州查尔斯顿的新工厂正式发布全新一代沃尔沃S60车型。与此同时沃尔沃还...,10.5万,243,918437
配可闭缸的2.0T 新款凯迪拉克XT5谍照,//www.autohome.com.cn/news/201806/918436.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M00/06/33/120x90_0_autohomecar__wKgHGlsbLnyAYUV1AAGPPhFfBrk683.jpg,2天前,[汽车之家 海外谍照]  日前，有海外媒体曝光了一组新款凯迪拉克XT5的路试谍照，新车预计将于今年年底或明年年初发布，除了外观升级之外，新车将搭载通用...,13.8万,237,918436
70岁生日礼物 保时捷911 Speedster官图,//www.autohome.com.cn/news/201806/918435.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M0A/06/F0/120x90_0_autohomecar__ChcCRFsbHiqAbJMtAAEPAL1rFgU926.jpg,2天前,[汽车之家 新车官图]  2018年6月8日，保时捷迎来品牌70周年庆典，除了公布未来首款电动车命名为Taycan之外，全新复古式跑车――新一代911...,7.4万,139,918435
70年之际保时捷首款纯电动车定名Taycan,//www.autohome.com.cn/news/201806/918429.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g2/M05/06/5B/120x90_0_autohomecar__wKgHGVsbE8eACZhtAABLF3mKXVw523.jpg,2天前,[汽车之家 新闻]  1948年6月8日，首款以保时捷命名的356车型正式发布，这一天便成为了保时捷的诞生之日。70年后的今天，在保时捷周年庆典上，正...,6.3万,178,918429
蔚领优惠3.9万 合资紧凑型车降价排行,//www.autohome.com.cn/news/201806/918419.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M01/02/1B/120x90_0_autohomecar__ChcCQ1saM2KAc-wlAAGJiaGDl7c143.jpg,2天前,[汽车之家 行情分析]  转眼间2018年将要过去一半，在这将近半年的时间里，不少品牌推出了新车型，它们或换代或改款，而有些老车型虽然没有进行更新，但...,95.2万,430,918419
颜值高还送车牌 名爵6新能源长期测试一,//www.autohome.com.cn/drive/201806/918200.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M0A/D1/66/120x90_0_autohomecar__wKgHGFsUs-eAbUGDAAFVg_RvfGI346.jpg,2天前,[汽车之家 长期测试]  在上海工作和生活，要是没有一台沪牌车（沪C除外），上下班真的是举步维艰。我和媳妇各有一块沪牌，照理说是不存在这种窘境的。然而...,16.4万,221,918200
贾跃亭FF美国工厂开工 2018年底前交付,//www.autohome.com.cn/news/201806/918428.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g1/M03/03/DB/120x90_0_autohomecar__wKgHGFsaXI2ALwMcAAI3dTJtrg0792.jpg,2天前,[汽车之家 新闻]  6月7日，由贾跃亭投资的美国电动汽车公司法拉第未来(Faraday Future，下称FF)官方宣布，其已获得美国汉福德政府的正...,12.7万,429,918428
目标出行服务商 沃尔沃公布新阶段战略,//www.autohome.com.cn/news/201806/918431.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M0A/06/DB/120x90_0_autohomecar__wKgHF1safWCAP9eiAAFXA_zSyNE128.jpg,2天前,[汽车之家 新闻]  2018年6月8日，沃尔沃汽车公布了最新的财务和运营目标、战略目标：到下个十年中期将公司发展成为全球汽车行业引领者和消费者出行服...,4.7万,130,918431
硬汉变型男 北京BJ40 PLUS深度解读,//www.autohome.com.cn/tech/201806/918230.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g1/M09/04/44/120x90_0_autohomecar__ChcCQ1saYN2Ae1_RAAFBilRV0rQ976.jpg,2天前,[汽车之家 设计解码] 提起“北京吉普”相信能唤起很多人的回忆，国内的第一代越野人基本都是从它起步的，而它也曾经是时尚与潮流的代名词，在那个汽油比可乐...,25.4万,441,918230
6月8日24时：92号汽油下调0.10元/升,//www.autohome.com.cn/news/201806/918421.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M07/02/8A/120x90_0_autohomecar__wKgHGFsaP0CAAzO2AAFISBfgWQg155.jpg,2天前,[汽车之家 新闻]  日前，国家发改委宣布，6月8日0时起，新一轮成品油调价窗口开启：每吨汽油下调130元、柴油下调125元，其中92号汽油每升下调0...,42.7万,0,918421
续航超400km 陆地方舟SUNIKE正式亮相,//www.autohome.com.cn/news/201806/918418.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M0A/01/C0/120x90_0_autohomecar__ChcCRFsaMveAUkq9AAGsN0Htf_g270.jpg,2天前,[汽车之家 新车首发]  日前，2018深港澳汽车展上，陆地方舟首款纯电动乘用车SUNIKE（桑耐克）正式亮相，新车定位跨界SUV车型，综合工况续航达...,6.9万,91,918418
售53.28万元 迈特威悠享版正式上市,//www.autohome.com.cn/news/201806/918380.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M09/02/5F/120x90_0_autohomecar__wKgHGVsaRM6AVCUDAAFcIip9Lrw002.jpg,2天前,[汽车之家 新车上市]  2018年6月8日，大众迈特威悠享版正式上市，售价为53.28万元，全国限量销售260台。新车基于2.0T四驱尊享版打造，加...,70.5万,819,918380
比亚迪建年产12GWh电池项目 将对外销售,//www.autohome.com.cn/news/201806/918410.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M02/00/4E/120x90_0_autohomecar__ChcCRFsaGEOAEzshAAG5ZES-nw0183.jpg,2天前,[汽车之家 新闻]  6月8日，比亚迪(002594)发布有关“调整变更公司非公开发行股票部分募集资金用途及新增实施主体的核查意见”的公告，公告提到：...,3.4万,180,918410
挂车钩螺栓脱落 大众汽车召回28辆up！,//www.autohome.com.cn/news/201806/918413.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M01/FF/B1/120x90_0_autohomecar__wKgHGlsaIamANFrEAAFplCPo-ug740.jpg,2天前,[汽车之家 新闻]  日前，大众汽车(中国)销售有限公司向海关总署备案了召回计划，从2018年7月9日起，召回自2015年10月2日至2015年10月...,3.2万,93,918413
即日起陆续到店 新凯越将于6月22日上市,//www.autohome.com.cn/news/201806/918407.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M09/FF/0C/120x90_0_autohomecar__ChcCRVsaFUmAOXU-AAE8Z4SfZbM869.jpg,2天前,[汽车之家 新闻]  日前，我们从上汽通用别克官方获悉，别克全新一代凯越将作为别克品牌在华全新入门车型，于6月22日正式上市。新车采用了别克新一代设计...,36.6万,749,918407
蓄电池线束存患 福特召回部分林肯大陆,//www.autohome.com.cn/news/201806/918406.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g1/M03/00/66/120x90_0_autohomecar__ChcCQ1saEoOAOG-RAAFaX62JX4E902.jpg,2天前,[汽车之家 新闻]  日前，福特汽车（中国）有限公司向海关总署备案了召回计划，从2018年6月15日起，召回部分进口2017-2018年款林肯大陆系列...,1.9万,30,918406
气囊或无法弹出 雷克萨斯召回310辆RX,//www.autohome.com.cn/news/201806/918405.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M0B/FD/80/120x90_0_autohomecar__wKgHFlsaDJaACFZHAAFaD-98Y24122.jpg,2天前,[汽车之家 新闻]   日前，丰田汽车（中国）投资有限公司向海关总署备案了召回计划，从2018年7月1日起，扩大召回部分进口雷克萨斯RX，据该公司统计...,3.0万,75,918405
合众新能源获第七张纯电动车生产资质,//www.autohome.com.cn/news/201806/918402.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g2/M02/FC/BC/120x90_0_autohomecar__wKgHFlsZ-aeAK050AAF6WiBea7A121.jpg,2天前,[汽车之家 新闻]  6月6日，工信部发布了第308批《道路机动车辆生产企业及产品公告》，在新增汽车生产企业清单一栏中，浙江合众新能源汽车有限公司（简...,1.4万,50,918402
按国补30%补助 河南省新能源补贴出炉,//www.autohome.com.cn/news/201806/918400.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g3/M01/00/8F/120x90_0_autohomecar__wKgHF1sZ8ByAetlrAACXM1EDtVc128.jpg,3天前,[汽车之家 新闻]  近日，河南省发布关于公开征求《关于调整河南省新能源汽车推广应用及充电基础设施奖补政策的通知》有关意见的通知。根据通知，河南省财政...,2.0万,73,918400
按国补50%补助 海南发布新能源补贴政策,//www.autohome.com.cn/news/201806/918399.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g2/M05/FE/38/120x90_0_autohomecar__ChcCRFsZ7DeAWwmZAAFy-VO4z_M829.jpg,3天前,[汽车之家 新闻]  近日，海南省发布相关文件指出，2018年海南省新能源汽车车辆购置地方财政补贴标准继续按中央财政同期补贴标准的1:0.5执行，其中...,1.8万,60,918399
54分钟充电80% 起亚极睿EV公布更多细节,//www.autohome.com.cn/news/201806/918395.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M06/FC/72/120x90_0_autohomecar__wKgHGlsZ5IaAASRYAAE4bN-uTAo476.jpg,3天前,[汽车之家 新闻]  日前，起亚在韩国釜山车展上亮相了极睿EV，并公布了更多动力参数。新车提供两种不同电池容量的车型，分别为39.2kWh和64kWh...,3.8万,131,918395
提供两种动力 全新悦翔将于8月正式上市,//www.autohome.com.cn/news/201806/918397.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g3/M05/00/27/120x90_0_autohomecar__wKgHF1sZ6lqAIhg8AAHhlLktmW8685.jpg,3天前,[汽车之家 新闻]  日前，我们从长安官方获悉，全新悦翔将于今年8月份正式上市。新车在外观、内饰造型上都采用了最新的家族式设计语言，动力方面将搭载1....,2.2万,67,918397
供应欧洲市场 宁德时代计划在德国建厂,//www.autohome.com.cn/news/201806/918396.html#pvareaid=102624,//www3.autoimg.cn/newsdfs/g2/M01/FB/6F/120x90_0_autohomecar__wKgHFlsZ5WKANpY0AAFl7eHcIk8213.jpg,3天前,[汽车之家 新闻]  日前据外媒报道，宁德时代（CATL）计划将在德国埃尔福特建立电池工厂。据了解，宁德时代目前在欧洲市场与大众汽车、戴姆勒两家集团都...,9610,71,918396
搭2.0T柴油发动机 曝柯迪亚克vRS谍照,//www.autohome.com.cn/news/201806/918394.html#pvareaid=102624,//www2.autoimg.cn/newsdfs/g2/M01/FB/2B/120x90_0_autohomecar__wKgHFlsZ4XGADU1SAAFYrQEgtE0556.jpg,3天前,[汽车之家 海外谍照]  日前，有外媒曝光了一组斯柯达旗下柯迪亚克的高性能版车型――柯迪亚克vRS的路试谍照。据了解，该车作为斯柯达vRS系列中的第二...,4.2万,48,918394
